(12,26.5974)
(7,0.707205)
(13,-0.744713)
(10,-10.2798)
(1,18.2986)
(9,26.5133)
(23,-4.03626)
(20,-0.374065)
(8,-15.3936)
(14,-14.2417)
(18,-2.9353)
(17,-13.8038)
(0,41.1478)
(8,15.3627)
(8,-12.7512)
(19,12.4933)
(12,-3.91678)
(7,16.4368)
(18,11.5523)
(20,-6.41874)
(4,28.7312)
(5,15.9048)
(9,2.98221)
(4,4.15116)
(10,50.1933)
(11,27.1307)
(5,21.1411)
(3,32.1461)
(14,5.97958)
(17,50.543)
(17,6.85263)
(12,47.386)
(1,-17.3669)
(9,-2.74068)
(4,-5.21436)
(7,-12.8073)
(12,-3.64483)
(3,47.7121)
(16,-3.91998)
(13,36.0152)
(1,-10.3696)
(9,-2.72704)
(14,-7.02866)
(23,10.0544)
(16,-4.14856)
(3,17.8782)
(7,46.4157)
(6,-1.11203)
(3,12.9442)
(19,3.65334)
